2D,NR,START,STOP,2026-09-04,2026-09-05,2026-09-11,2026-09-12,2026-09-18,2026-09-19,2026-09-25,2026-09-26,2026-10-02,2026-10-03,2026-10-09,2026-10-10,2026-10-16,2026-10-17,2026-10-23,2026-10-24,2026-10-30,2026-10-31,2026-11-06,2026-11-07,2026-11-13,2026-11-14,2026-11-20,2026-11-21,2026-11-27,2026-11-28,2026-12-04,2026-12-05,2026-12-11,2026-12-12,2026-12-18,2026-12-19,2026-12-25,2026-12-26,2027-01-01,2027-01-02,2027-01-08,2027-01-09,2027-01-15,2027-01-16,2027-01-22,2027-01-23,2027-01-29,2027-01-30,2027-02-05,2027-02-06,2027-02-12,2027-02-13,2027-02-19,2027-02-20,2027-02-26,2027-02-27,2027-03-05,2027-03-06,2027-03-12,2027-03-13,2027-03-19,2027-03-20,2027-03-26,2027-03-27,2027-04-02,2027-04-03,2027-04-09,2027-04-10,2027-04-16,2027-04-17,2027-04-23,2027-04-24,2027-04-30,2027-05-01,2027-05-07,2027-05-08,2027-05-14,2027-05-15,2027-05-21,2027-05-22,2027-05-28,2027-05-29,2027-06-04,2027-06-05,2027-06-11,2027-06-12,2027-06-18,2027-06-19,2027-06-25,2027-06-26
2D,1,08:00,08:45,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,2,08:50,09:35,w,w,f,f,w,w,w,jp,jp,jp,w,w,w,h,h,h,w,w,w,w,h,h,h,h,h,h,h,h,h,h,w,w,w,m,m,m,m,m,m,w,w,w,w,h,h,h,h,h,h,w,w,i,i,w,w,m,m,w,w,w,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,3,09:40,10:25,w,w,f,f,w,w,jp,jp,jp,jp,jp,w,h,h,h,h,h,w,w,w,h,h,h,h,h,h,h,h,h,h,w,w,m,m,m,m,m,m,m,m,m,w,w,h,h,h,h,h,h,w,w,i,i,w,w,m,m,w,w,w,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,4,10:30,11:15,w,w,f,f,w,jp,jp,jp,h,h,h,h,h,h,h,h,h,jp,w,w,w,w,w,w,w,w,w,h,h,h,w,w,m,m,w,w,w,w,w,m,m,w,w,h,h,w,w,w,w,w,w,i,i,w,w,m,m,w,w,w,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,5,11:20,12:05,w,w,f,f,w,jp,jp,jp,h,h,h,h,h,h,h,h,h,jp,w,w,w,w,w,w,w,w,h,h,h,w,w,w,m,m,w,w,w,w,w,w,w,w,w,h,h,w,w,w,w,w,w,i,i,w,w,m,m,w,w,w,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,6,12:10,12:55,w,w,f,f,w,w,jp,jp,h,h,h,h,h,h,h,h,h,w,w,w,w,w,w,w,w,h,h,h,w,w,w,w,w,m,m,m,w,w,w,w,w,w,w,h,h,w,w,w,w,w,w,i,i,w,w,m,m,w,w,w,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,7,13:00,13:45,w,w,f,f,w,w,jp,jp,h,h,h,h,h,h,h,h,h,w,w,w,w,w,w,w,h,h,h,w,w,w,w,w,w,w,m,m,m,m,m,w,w,w,w,h,h,h,h,h,h,w,w,i,i,w,w,m,m,w,w,w,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,8,13:50,14:35,w,w,f,f,w,w,jp,jp,h,h,h,h,h,h,h,h,h,w,w,w,w,w,w,h,h,h,w,w,w,w,w,w,w,w,w,w,w,m,m,m,w,w,w,h,h,h,h,h,h,w,w,i,i,w,w,m,m,w,w,w,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,9,14:40,15:25,w,w,f,f,w,w,w,jp,h,h,h,h,h,h,h,h,w,w,w,w,w,w,h,h,h,w,w,w,w,w,w,w,w,w,w,w,w,w,m,m,w,w,w,h,h,w,w,w,w,w,w,i,i,w,w,m,m,w,w,w,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,10,15:30,16:15,w,w,f,f,w,w,w,w,h,h,h,h,h,h,h,w,w,w,w,w,w,h,h,h,w,w,w,w,w,w,w,w,w,w,w,w,w,w,m,m,m,w,w,h,h,w,w,w,w,w,w,i,i,w,w,m,m,w,w,w,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,11,16:20,17:05,w,w,f,f,w,w,w,w,w,jp,jp,jp,jp,jp,w,w,w,w,w,w,h,h,h,w,w,w,w,w,w,w,w,w,m,m,w,w,w,w,m,m,m,w,w,h,h,w,w,w,w,w,w,i,i,w,w,m,m,w,w,w,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,12,17:10,17:55,w,w,f,f,w,w,w,w,w,w,jp,jp,jp,w,w,w,w,w,w,w,h,h,h,h,h,h,h,h,h,h,w,w,m,m,m,m,m,m,m,m,m,w,w,h,h,h,h,h,h,w,w,i,i,w,w,m,m,m,m,m,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,13,18:00,18:45,w,w,f,f,w,w,w,w,w,w,w,jp,w,w,w,w,w,w,w,w,h,h,h,h,h,h,h,h,h,h,w,w,w,m,m,m,m,m,m,m,w,w,w,h,h,h,h,h,h,w,w,i,i,w,w,w,m,m,m,m,m,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2D,14,18:50,19:35,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D,NR,START,STOP,2026-09-04,2026-09-05,2026-09-11,2026-09-12,2026-09-18,2026-09-19,2026-09-25,2026-09-26,2026-10-02,2026-10-03,2026-10-09,2026-10-10,2026-10-16,2026-10-17,2026-10-23,2026-10-24,2026-10-30,2026-10-31,2026-11-06,2026-11-07,2026-11-13,2026-11-14,2026-11-20,2026-11-21,2026-11-27,2026-11-28,2026-12-04,2026-12-05,2026-12-11,2026-12-12,2026-12-18,2026-12-19,2026-12-25,2026-12-26,2027-01-01,2027-01-02,2027-01-08,2027-01-09,2027-01-15,2027-01-16,2027-01-22,2027-01-23,2027-01-29,2027-01-30,2027-02-05,2027-02-06,2027-02-12,2027-02-13,2027-02-19,2027-02-20,2027-02-26,2027-02-27,2027-03-05,2027-03-06,2027-03-12,2027-03-13,2027-03-19,2027-03-20,2027-03-26,2027-03-27,2027-04-02,2027-04-03,2027-04-09,2027-04-10,2027-04-16,2027-04-17,2027-04-23,2027-04-24,2027-04-30,2027-05-01,2027-05-07,2027-05-08,2027-05-14,2027-05-15,2027-05-21,2027-05-22,2027-05-28,2027-05-29,2027-06-04,2027-06-05,2027-06-11,2027-06-12,2027-06-18,2027-06-19,2027-06-25,2027-06-26
3D,1,08:00,08:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D,2,08:50,09:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D,3,09:40,10:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D,4,10:30,11:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D,5,11:20,12:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
